party,partyLabel,colorLabel
http://www.wikidata.org/entity/Q5025084,Cambio 90,light orange
http://www.wikidata.org/entity/Q5025162,Cambodian National Rescue Party,cobalt blue
http://www.wikidata.org/entity/Q953447,Cameroon People's Democratic Movement,Maya Blue
http://www.wikidata.org/entity/Q5053159,Catholic Election Action,azure
http://www.wikidata.org/entity/Q792293,Catholic Party,gold
http://www.wikidata.org/entity/Q5053222,Catholic Party,maroon
http://www.wikidata.org/entity/Q7887698,Cayman Democratic Party,dark blue
http://www.wikidata.org/entity/Q2945578,"Centre, Democracy and Progress",robin egg blue
http://www.wikidata.org/entity/Q5063123,Century 21,blue
http://www.wikidata.org/entity/Q277497,Ceylon Communist Party (Maoist),red
http://www.wikidata.org/entity/Q24949950,Ceylon Labour Party,red
http://www.wikidata.org/entity/Q3535341,Ceylon Workers' Congress,red
http://www.wikidata.org/entity/Q508898,Chadema,red
http://www.wikidata.org/entity/Q63645885,Chega,Blue (CMYK) (pigment blue)
http://www.wikidata.org/entity/Q7141116,Chilean Social Democracy Party,light orange
http://www.wikidata.org/entity/Q13063598,Chin Progressive Party,white
http://www.wikidata.org/entity/Q13063598,Chin Progressive Party,lithopone white
http://www.wikidata.org/entity/Q2037135,Christian Democracy,denim
http://www.wikidata.org/entity/Q815348,Christian Democracy,white
http://www.wikidata.org/entity/Q815348,Christian Democracy,lithopone white
http://www.wikidata.org/entity/Q13586836,Christian Democrat Party,purple
http://www.wikidata.org/entity/Q15890143,Christian Democratic Alliance,indigo
http://www.wikidata.org/entity/Q5109510,Christian Democratic Party,red
http://www.wikidata.org/entity/Q3140829,Christian Democratic Party of Uruguay,light orange
http://www.wikidata.org/entity/Q763974,Christian Democratic Union,lilac
http://www.wikidata.org/entity/Q5109960,Christian National Union,azure
http://www.wikidata.org/entity/Q5109956,Christian National Union for the Reconstruction of Haiti,yellow
http://www.wikidata.org/entity/Q1084016,Christlich Soziale Partei,light orange
http://www.wikidata.org/entity/Q2033977,Citizens' Action Party,gold
http://www.wikidata.org/entity/Q5122625,Citizens' Battle Against Corruption,amber
http://www.wikidata.org/entity/Q61362924,Citizens' Bloc 381,grey
http://www.wikidata.org/entity/Q2792033,Civic Choice,denim
http://www.wikidata.org/entity/Q2326957,Civic Coalition,teal
http://www.wikidata.org/entity/Q3182266,Civic Conservative Party,brighter dark red
http://www.wikidata.org/entity/Q1807830,Civic Democratic Alliance,cerulean
http://www.wikidata.org/entity/Q15859034,Civic Initiative for Kosovo,purple
http://www.wikidata.org/entity/Q4147532,Civil Position,gold
http://www.wikidata.org/entity/Q474074,Civilista Party,gold
http://www.wikidata.org/entity/Q5125815,Clann Éireann,forest green
http://www.wikidata.org/entity/Q15980908,Coalition of Social Justice and Democracy,red
http://www.wikidata.org/entity/Q1430823,Colorado Party,Venetian red
http://www.wikidata.org/entity/Q5153477,Common Sense Party,white
http://www.wikidata.org/entity/Q5153477,Common Sense Party,lithopone white
http://www.wikidata.org/entity/Q5153505,Common Wealth Party,coral
http://www.wikidata.org/entity/Q5153800,Commonwealth Labour Party,firebrick
http://www.wikidata.org/entity/Q3021536,Communist Labour Party,red
http://www.wikidata.org/entity/Q1787779,Communist Party in Denmark,red
http://www.wikidata.org/entity/Q2575731,Communist Party in Saudi Arabia,red
http://www.wikidata.org/entity/Q385665,Communist Party of Finland,dark red
http://www.wikidata.org/entity/Q592068,Communist Party of Great Britain,red
http://www.wikidata.org/entity/Q837159,Communist Party of India,red
http://www.wikidata.org/entity/Q234277,Communist Party of India (Marxist),red
http://www.wikidata.org/entity/Q1280685,Communist Party of Italy,Venetian red
http://www.wikidata.org/entity/Q495459,Communist Party of Korea,red
http://www.wikidata.org/entity/Q5154412,Communist Party of Kyrgyzstan,red
http://www.wikidata.org/entity/Q3896732,Communist Party of New Zealand,maroon
http://www.wikidata.org/entity/Q5154436,Communist Party of Peru – Red Fatherland,orange-red
http://www.wikidata.org/entity/Q2080724,Communist Party of Poland,Rosso corsa
http://www.wikidata.org/entity/Q5154443,Communist Party of Revolutionary Marxists,red
http://www.wikidata.org/entity/Q1751122,Communist Party of Slovakia,dark red
http://www.wikidata.org/entity/Q4574876,Communist Party of Sweden,brighter dark red
http://www.wikidata.org/entity/Q4574567,Communist Party of Sweden,maroon
http://www.wikidata.org/entity/Q1889194,Communist Party of Turkey (1920),red
http://www.wikidata.org/entity/Q1440633,Communist Party of the Free Territory of Trieste,red
http://www.wikidata.org/entity/Q5154523,Communist Workers' Party – For Peace and Socialism,red
http://www.wikidata.org/entity/Q5154751,Community Group,grey
http://www.wikidata.org/entity/Q3866578,Community Movement,purple
http://www.wikidata.org/entity/Q15980929,Community for Social Justice People's Party,Persian blue
http://www.wikidata.org/entity/Q18618861,Concordia Political Alliance,gold
http://www.wikidata.org/entity/Q1568357,Conference Party,gold
http://www.wikidata.org/entity/Q1460650,Congress for the Republic,green
http://www.wikidata.org/entity/Q1584987,Congress of the New Right,Blue (NCS)
http://www.wikidata.org/entity/Q1584987,Congress of the New Right,NCS blue
http://www.wikidata.org/entity/Q28136200,Congressional Arts Caucus,dark grey
http://www.wikidata.org/entity/Q5163022,Conservative Alliance of Zimbabwe,purple
http://www.wikidata.org/entity/Q2307833,Conservative Party,cobalt blue
http://www.wikidata.org/entity/Q5163060,Conservative Party,blue
http://www.wikidata.org/entity/Q15984928,Conservative Party,blue
http://www.wikidata.org/entity/Q3504357,Conservative Party,indigo
http://www.wikidata.org/entity/Q3646446,Conservative Party of Georgia,dark red
http://www.wikidata.org/entity/Q776414,Conservative Party of South Africa,gold
http://www.wikidata.org/entity/Q3896747,Constitutional Democratic Party (Italy),cornflower blue
http://www.wikidata.org/entity/Q5164299,Constitutional Party,red-violet
http://www.wikidata.org/entity/Q1422066,Constitutionalist Liberal Party,scarlet
http://www.wikidata.org/entity/Q1422066,Constitutionalist Liberal Party,Q12901869
http://www.wikidata.org/entity/Q5166233,Convention Muslim League,robin egg blue
http://www.wikidata.org/entity/Q1129392,Convention People's Party,Venetian red
http://www.wikidata.org/entity/Q2996341,Convention for a Progressive Alternative,red
http://www.wikidata.org/entity/Q5166938,Cook Islands National Party,blue
http://www.wikidata.org/entity/Q5177388,Country Party,salmon
